Product,Pid,TotalSale,TotalComment,TotalRevenue,Net. (kg)
澳优金装幼优婴儿奶粉3段(1--3岁)400gX4盒 澳优婴儿奶粉3段,13216359296,2,1,784,0.4
努卡超金装金塔较大婴儿配方奶粉二段900g听装,37113509116,2,2,516,0.9
明一金智婴配方奶粉3段1-3周岁婴幼儿牛奶粉三段400g盒装400克,13086760448,3,3,270,0.4
努卡nuka金装金塔较大婴儿配方奶粉二段400g盒装,37109303151,0,0,0,0.4
美素2段 美素佳儿金装较大婴儿配方奶粉900g /二段,13301094366,1,2,219,0.9
努卡nuka金装金塔初生婴儿配方奶粉一段900g听,37114673290,11,3,2179,0.9
买5送1有惊喜价 澳优 能力多3段奶粉 睿护配方原装进口 澳优奶粉,13216367677,7,2,2506,0
努卡nuka超金装金塔幼儿配方奶粉三段900g听装,37106758151,0,0,0,0.9
完达山 新段粉2段,12839536475,38,3,1330,0
努卡nuka金装金塔幼儿配方奶粉三段900g听装包邮,37114793126,7,2,1393,0.9
雅培 金装舒心美智护100 0-12个月 适合有消化问题宝宝 375g罐装,13152916907,33,9,4224,0.375
努卡nuka金装金塔幼儿配方奶粉三段400g盒装 包邮,37114977254,0,0,0,0.4
【满200减20】伊利金装较大婴儿及幼儿配方奶粉2段400克13年10月,13250064864,647,82,29160,0.4
努卡nuka金装金塔初生婴儿配方奶粉一段400g盒装,37106934538,0,0,0,0.4
明一金智婴奶粉2段6-12个月婴幼儿奶粉二段正品400g盒装,13086616656,3,0,270,0.4
努卡nuka免疫新装婴儿配方奶粉一段900g,40079855169,15,1,2985,0.9
飞鹤星飞帆3段婴幼儿配方奶粉 700g/听 特价不参与返现,13224142907,49,9,10535,0.7
美赞臣安儿健A+儿童配方奶粉 4/四段 1200g盒装 3岁以上,13300942319,9,5,1791,1.2
NUKA努卡法国原装进口奶粉金装致睿三段1-3岁900g旗舰店积分有礼,39806765208,22,2,1705.2,0.9
美素3段美素佳儿幼儿配方奶粉 婴儿奶粉900g 3/三段,13301114755,8,2,1511.2,0.9
努卡nuka超金装金塔初生婴儿配方奶粉一段900g听装,37123880050,0,0,0,0.9
14年4月 Wyeth/惠氏启赋幼儿配方奶粉3段900克听 1-3岁 HS4023,13128633627,0,0,0,0.9
美赞臣1段安婴儿A+婴儿配方奶粉900克桶装 一段新生儿,13300577028,7,4,1618.8,0.9
【满200减20】伊利金领冠婴儿配方奶粉1段900g克 正品 全新升,13267392959,1029,248,181104,0.9
伊利金领冠婴儿配方奶粉1/一段 900g 0-12个月,13301305684,1,0,218.9,0.9
买4送1 澳优 能力多有机奶粉2段 800g 法国原装进口有机能力多,13216087695,0,0,0,0.8
【满200减20】伊利金领冠较大婴儿及幼儿配方2段奶粉900g克*两听,13361603489,179,87,55490,0.9
14年1月 Wyeth/惠氏启赋较大婴儿配方奶粉2段900克听 HS3026,13130409619,0,0,0,0.9
天猫澳洲直邮 高端奶粉 新西兰原装进口A2白金系列婴幼儿奶粉1段,37086370003,7,0,1463,0
伊利金装幼儿配方奶粉3段 900g听装 1-3岁 三段,13301310359,0,0,0,0.9
贝因美3段奶粉 金美正装婴幼儿配方奶粉 1-3岁 牛奶粉 900g罐,13135413273,550,148,41023,0.9
旭贝尔3段 奶粉 900g 1-3岁 正品美国原装进口奶粉 婴儿配方奶粉,12967155419,4,3,200,0.9
伊利金领冠较大婴儿配方奶粉2段900g 6-18个月 二段,13301381222,0,0,0,0.9
【买5送1有惊喜】澳优奶粉 澳优原装进口奶粉能力多4段800g*2听,13343273831,0,0,0,0.8
【拍下减】澳优能力多有机奶粉1段 0-6个月 200g 有机能力多1段,13119377417,14,4,686,0.2
贝因美2段奶粉 金美正装婴幼儿配方奶粉 6-12个月 牛奶粉 900g罐,13451127153,115,38,8947,0.9
伊利金领冠幼儿配方奶粉3段 400g盒装 三段 1-3岁,13301442970,0,0,0,0.4
【原装进口】纽贝斯特考拉瑞迪 新西兰婴儿奶粉3段富含多种维生素,13370264665,10,4,3580,0
太子乐金装1段400g 金100 婴儿配方奶粉 盒装,13144259254,0,0,0,0.4
【特惠装 非常划算】新西兰 纽瑞滋金装奶粉1段 一段1000g,13350382760,26,7,7748,1
NBST/纽贝斯特 金装牛 400g 一段,13324267330,2,0,176,0.4
贝因美1段奶粉 金美正装 婴儿配方奶粉0-6个月 牛奶粉 900g罐,13134586001,10,2,860,0.9
【史上最.大.活.动】新西兰纽瑞滋金装婴儿配方奶粉1段一段300g,13350566891,0,0,0,0.3
【满200减20】伊利金装1段婴儿配方奶粉400g克*4 四盒装 步步益+,13040726383,32,13,6912,0.4
